region,latitude,longitude,seismic_zone,event_count_30d,avg_magnitude,max_magnitude,magnitude_std,b_value,avg_depth_km,log_energy_release,inter_event_cv,recent_rate_7d,rate_change_ratio,significant_event_next30d
Andaman Islands,12.3,93.1,5,7,2.77,3.92,0.727,0.53,48.1,6.056,0.869,0,0.0,1
Ladakh,34.13,76.66,5,2,2.34,2.56,0.221,1.0,44.0,3.932,0.0,0,0.0,0
Assam,26.22,90.89,5,1,2.32,2.32,0.0,1.0,99.4,3.484,0.0,1,3.181,1
Kashmir,34.73,74.49,5,3,2.23,2.37,0.126,1.0,24.8,3.866,0.123,2,6.362,1
Bihar,24.96,85.18,4,1,2.04,2.04,0.0,1.0,40.8,3.066,0.0,0,0.0,0
Ladakh,33.92,78.48,5,4,2.07,2.15,0.053,1.0,24.0,3.708,1.118,2,3.233,0
Madhya Pradesh,24.21,77.88,2,1,2.33,2.33,0.0,1.0,15.0,3.493,0.0,0,0.0,1
Tamil Nadu,11.22,78.39,2,0,0.0,0.0,0.0,1.0,23.9,0.0,0.0,0,0.0,0
Ladakh,34.01,78.02,5,3,3.52,4.25,0.547,1.0,14.2,6.4,0.781,0,0.0,0
Kashmir,33.24,74.79,5,2,2.74,2.84,0.097,1.0,66.0,4.436,0.0,0,0.0,0
Sikkim,26.96,87.87,4,4,2.54,2.95,0.362,1.0,123.2,4.689,0.553,0,0.0,0
Tripura,24.42,92.27,5,2,2.69,2.92,0.232,1.0,31.9,4.456,0.0,0,0.0,0
Delhi-NCR,28.83,76.93,4,1,2.1,2.1,0.0,1.0,79.5,3.151,0.0,0,0.0,0
Gujarat-Saurashtra,22.4,70.91,3,1,2.01,2.01,0.0,1.0,9.5,3.008,0.0,0,0.0,0
Arunachal Pradesh,27.22,94.72,5,4,2.2,2.43,0.168,1.0,10.0,3.969,0.403,0,0.0,1
Maharashtra-Koyna,17.4,74.76,4,1,2.08,2.08,0.0,1.0,113.4,3.117,0.0,2,6.362,0
Sikkim,26.42,88.32,4,4,2.49,2.6,0.096,1.0,28.6,4.358,0.691,1,1.083,0
Kashmir,33.52,75.61,5,5,2.63,3.04,0.308,0.64,14.1,4.848,0.562,1,0.815,1
Assam,26.67,92.3,5,1,2.74,2.74,0.0,1.0,14.2,4.112,0.0,2,6.362,1
Meghalaya,24.89,92.15,5,3,2.28,2.52,0.184,1.0,11.8,3.981,0.903,0,0.0,0
Manipur,24.01,93.94,5,1,2.15,2.15,0.0,1.0,24.9,3.223,0.0,1,3.181,0
Andaman Islands,11.0,93.37,5,4,2.88,3.57,0.444,1.0,62.4,5.422,0.683,1,1.083,0
Karnataka,14.42,75.95,2,1,2.64,2.64,0.0,1.0,20.8,3.964,0.0,0,0.0,0
Meghalaya,25.78,91.46,5,3,2.32,2.46,0.104,1.0,15.3,3.981,0.87,0,0.0,0
Rajasthan,26.54,74.88,2,1,2.15,2.15,0.0,1.0,37.1,3.22,0.0,0,0.0,1
Assam,26.35,91.19,5,2,2.29,2.52,0.225,1.0,40.6,3.862,0.0,1,3.181,0
Mizoram,23.94,92.89,5,2,2.16,2.21,0.046,1.0,40.5,3.547,0.0,0,0.0,0
Meghalaya,26.14,92.69,5,1,2.01,2.01,0.0,1.0,13.2,3.016,0.0,0,0.0,0
Sikkim,27.87,88.74,4,5,2.37,2.72,0.251,1.046,62.1,4.411,0.591,0,0.0,1
Odisha,19.54,85.45,2,0,0.0,0.0,0.0,1.0,59.0,0.0,0.0,0,0.0,0
Andaman Islands,12.66,91.88,5,4,2.4,2.74,0.224,1.0,45.4,4.334,0.564,0,0.0,0
Kashmir,34.51,74.05,5,4,2.5,2.63,0.132,1.0,15.4,4.387,0.482,1,1.083,1
Andaman Islands,11.05,92.9,5,3,2.55,2.73,0.239,1.0,39.3,4.409,0.365,1,1.616,0
Gujarat-Saurashtra,22.74,71.65,3,1,2.74,2.74,0.0,1.0,16.8,4.105,0.0,0,0.0,0
Tripura,22.99,92.39,5,1,2.13,2.13,0.0,1.0,19.2,3.203,0.0,1,3.181,0
Delhi-NCR,29.37,77.86,4,1,2.78,2.78,0.0,1.0,39.3,4.175,0.0,1,3.181,0
Nagaland,25.54,95.09,5,1,2.12,2.12,0.0,1.0,52.6,3.175,0.0,0,0.0,0
Himachal Pradesh,30.46,77.85,5,3,2.59,3.58,0.7,1.0,116.1,5.374,0.895,1,1.616,0
Maharashtra-Koyna,17.97,73.64,4,1,2.4,2.4,0.0,1.0,17.3,3.597,0.0,0,0.0,0
Mizoram,23.94,93.12,5,2,2.48,2.61,0.13,1.0,89.5,4.057,0.0,0,0.0,0
Rajasthan,26.37,76.19,2,0,0.0,0.0,0.0,1.0,38.1,0.0,0.0,1,3.181,0
Tripura,23.56,92.29,5,1,3.11,3.11,0.0,1.0,23.1,4.659,0.0,0,0.0,0
Maharashtra-Koyna,17.03,73.52,4,2,2.38,2.57,0.188,1.0,29.6,3.961,0.0,0,0.0,0
Manipur,24.4,94.2,5,0,0.0,0.0,0.0,1.0,41.9,0.0,0.0,1,3.181,0
Nagaland,25.8,94.61,5,5,2.31,2.55,0.16,1.223,27.7,4.226,0.711,1,0.815,1
Andaman Islands,11.34,92.01,5,2,2.2,2.29,0.086,1.0,23.8,3.625,0.0,0,0.0,0
Nagaland,25.24,95.21,5,2,2.38,2.76,0.381,1.0,24.8,4.175,0.0,0,0.0,0
Gujarat-Kutch,22.31,68.74,5,3,2.48,3.15,0.471,1.0,17.2,4.748,0.785,0,0.0,1
Madhya Pradesh,23.67,76.92,2,0,0.0,0.0,0.0,1.0,38.0,0.0,0.0,0,0.0,0
Meghalaya,25.72,90.99,5,2,2.55,2.73,0.18,1.0,50.6,4.207,0.0,1,3.181,0
Arunachal Pradesh,27.4,94.99,5,3,2.17,2.42,0.178,1.0,14.0,3.819,0.53,1,1.616,0
Mizoram,24.46,93.23,5,2,2.24,2.25,0.012,1.0,79.7,3.659,0.0,2,6.362,0
Gujarat-Saurashtra,23.27,72.3,3,1,2.41,2.41,0.0,1.0,40.8,3.609,0.0,0,0.0,0
Gujarat-Saurashtra,22.51,72.5,3,0,0.0,0.0,0.0,1.0,54.3,0.0,0.0,0,0.0,0
Uttarakhand,31.18,79.54,5,1,2.07,2.07,0.0,1.0,95.4,3.106,0.0,2,6.362,0
Assam,26.16,91.82,5,2,2.49,2.9,0.409,1.0,54.5,4.371,0.0,0,0.0,0
Nagaland,25.56,93.86,5,3,2.16,2.31,0.109,1.0,72.9,3.746,0.07,1,1.616,1
Nagaland,26.3,93.65,5,0,0.0,0.0,0.0,1.0,19.1,0.0,0.0,1,3.181,0
Tripura,23.15,92.28,5,2,2.13,2.14,0.004,1.0,26.2,3.502,0.0,0,0.0,0
Sikkim,28.21,88.95,4,4,2.77,3.49,0.522,1.0,13.9,5.326,0.19,1,1.083,0
Odisha,20.61,86.75,2,0,0.0,0.0,0.0,1.0,8.2,0.0,0.0,0,0.0,0
Andaman Islands,12.67,91.75,5,4,2.33,2.51,0.145,1.0,63.1,4.148,0.469,0,0.0,0
Rajasthan,26.22,76.73,2,2,2.31,2.59,0.278,1.0,8.2,3.939,0.0,1,3.181,1
Mizoram,22.86,93.51,5,2,2.38,2.75,0.37,1.0,71.2,4.153,0.0,1,3.181,0
West Bengal,23.08,89.15,3,2,2.26,2.4,0.144,1.0,17.7,3.738,0.0,0,0.0,0
Rajasthan,26.98,75.89,2,1,2.11,2.11,0.0,1.0,36.0,3.164,0.0,0,0.0,0
Odisha,21.15,86.1,2,1,2.17,2.17,0.0,1.0,7.0,3.249,0.0,0,0.0,1
Manipur,23.94,93.72,5,1,2.08,2.08,0.0,1.0,93.4,3.122,0.0,0,0.0,0
Manipur,25.0,94.07,5,2,2.56,3.02,0.467,1.0,28.6,4.551,0.0,0,0.0,0
Maharashtra-Koyna,16.64,73.03,4,0,0.0,0.0,0.0,1.0,36.9,0.0,0.0,1,3.181,0
Odisha,21.3,85.92,2,0,0.0,0.0,0.0,1.0,11.7,0.0,0.0,1,3.181,0
Uttarakhand,30.25,79.58,5,4,2.87,3.69,0.5,1.0,20.9,5.574,0.646,0,0.0,0
Karnataka,15.17,75.08,2,1,2.01,2.01,0.0,1.0,5.1,3.014,0.0,0,0.0,0
Himachal Pradesh,32.03,77.74,5,1,2.3,2.3,0.0,1.0,31.7,3.456,0.0,0,0.0,0
Manipur,24.75,93.49,5,1,2.06,2.06,0.0,1.0,42.7,3.09,0.0,0,0.0,0
Gujarat-Saurashtra,23.14,72.34,3,0,0.0,0.0,0.0,1.0,25.1,0.0,0.0,0,0.0,0
Bihar,25.61,86.09,4,1,2.41,2.41,0.0,1.0,20.3,3.621,0.0,0,0.0,0
West Bengal,22.97,89.33,3,0,0.0,0.0,0.0,1.0,6.7,0.0,0.0,0,0.0,0
West Bengal,23.13,88.95,3,1,2.72,2.72,0.0,1.0,34.0,4.086,0.0,1,3.181,0
Kerala,10.14,77.22,3,0,0.0,0.0,0.0,1.0,11.4,0.0,0.0,0,0.0,0
Tripura,24.3,91.83,5,1,2.11,2.11,0.0,1.0,37.2,3.166,0.0,0,0.0,0
Gujarat-Kutch,23.55,68.86,5,1,2.26,2.26,0.0,1.0,54.9,3.384,0.0,0,0.0,0
Madhya Pradesh,24.34,77.13,2,0,0.0,0.0,0.0,1.0,14.2,0.0,0.0,0,0.0,0
Nagaland,27.19,94.7,5,1,2.22,2.22,0.0,1.0,14.3,3.328,0.0,0,0.0,0
Mizoram,22.93,92.7,5,4,2.05,2.08,0.02,1.0,56.1,3.672,0.769,0,0.0,1
Maharashtra-Koyna,16.98,72.97,4,1,2.26,2.26,0.0,1.0,28.1,3.39,0.0,1,3.181,0
Meghalaya,25.06,91.19,5,4,2.44,2.99,0.326,1.0,15.7,4.58,0.94,2,3.233,1
Uttarakhand,29.97,80.04,5,3,2.21,2.47,0.191,1.0,137.2,3.89,0.574,0,0.0,0
Maharashtra-Koyna,18.12,73.38,4,2,2.75,3.39,0.638,1.0,42.0,5.086,0.0,0,0.0,0
Himachal Pradesh,31.83,76.92,5,2,2.8,3.47,0.672,1.0,13.1,5.21,0.0,0,0.0,0
Sikkim,28.08,89.25,4,2,2.41,2.6,0.192,1.0,20.8,4.007,0.0,0,0.0,0
Uttarakhand,29.41,79.53,5,5,2.62,3.73,0.645,0.653,15.3,5.629,0.569,0,0.0,1
Assam,25.14,91.94,5,5,2.44,2.85,0.239,0.884,32.4,4.521,0.457,1,0.815,1
Assam,26.68,92.64,5,0,0.0,0.0,0.0,1.0,10.3,0.0,0.0,1,3.181,1
Uttarakhand,29.55,79.51,5,6,2.52,2.72,0.263,0.762,12.7,4.684,0.313,0,0.0,1
Gujarat-Kutch,22.66,69.35,5,1,2.51,2.51,0.0,1.0,19.3,3.768,0.0,0,0.0,0
Madhya Pradesh,22.86,77.58,2,0,0.0,0.0,0.0,1.0,16.1,0.0,0.0,1,3.181,0
Bihar,24.73,84.43,4,2,2.41,2.64,0.234,1.0,51.3,4.038,0.0,0,0.0,0
Odisha,19.93,86.52,2,0,0.0,0.0,0.0,1.0,14.5,0.0,0.0,0,0.0,0
West Bengal,23.53,87.82,3,0,0.0,0.0,0.0,1.0,19.6,0.0,0.0,0,0.0,0
Delhi-NCR,28.87,76.39,4,0,0.0,0.0,0.0,1.0,34.9,0.0,0.0,0,0.0,0
Odisha,19.48,86.18,2,0,0.0,0.0,0.0,1.0,5.1,0.0,0.0,0,0.0,0
Tripura,24.87,92.46,5,1,2.11,2.11,0.0,1.0,35.5,3.168,0.0,0,0.0,0
Rajasthan,27.82,76.65,2,0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0,0.0,0
West Bengal,23.08,87.94,3,0,0.0,0.0,0.0,1.0,9.4,0.0,0.0,0,0.0,0
Bihar,26.13,86.08,4,0,0.0,0.0,0.0,1.0,115.4,0.0,0.0,0,0.0,0
Ladakh,33.99,77.52,5,3,2.51,2.9,0.308,1.0,10.6,4.472,0.785,0,0.0,0
Tripura,23.22,91.81,5,0,0.0,0.0,0.0,1.0,70.4,0.0,0.0,0,0.0,0
Tamil Nadu,10.31,78.88,2,0,0.0,0.0,0.0,1.0,16.4,0.0,0.0,0,0.0,0
Tamil Nadu,10.91,78.87,2,0,0.0,0.0,0.0,1.0,6.1,0.0,0.0,0,0.0,0
Arunachal Pradesh,27.58,94.17,5,1,2.02,2.02,0.0,1.0,46.9,3.031,0.0,1,3.181,0
Madhya Pradesh,22.72,77.0,2,3,2.69,3.1,0.377,1.0,17.2,4.783,0.768,0,0.0,0
Mizoram,23.75,91.74,5,1,2.12,2.12,0.0,1.0,35.6,3.177,0.0,0,0.0,0
Manipur,25.52,94.7,5,0,0.0,0.0,0.0,1.0,64.7,0.0,0.0,1,3.181,0
Ladakh,34.16,77.8,5,5,2.4,2.78,0.249,0.968,87.6,4.459,1.286,1,0.815,1
Maharashtra-Koyna,18.08,72.95,4,1,2.16,2.16,0.0,1.0,12.2,3.248,0.0,0,0.0,0
Assam,26.45,91.26,5,2,2.45,2.76,0.304,1.0,47.5,4.187,0.0,0,0.0,0
Tamil Nadu,10.42,77.94,2,1,2.15,2.15,0.0,1.0,36.2,3.228,0.0,0,0.0,0
Meghalaya,26.03,91.84,5,0,0.0,0.0,0.0,1.0,130.5,0.0,0.0,3,9.544,0
Tamil Nadu,11.44,79.04,2,0,0.0,0.0,0.0,1.0,12.2,0.0,0.0,0,0.0,0
West Bengal,23.28,88.38,3,1,2.19,2.19,0.0,1.0,13.9,3.287,0.0,0,0.0,0
Madhya Pradesh,24.31,76.7,2,0,0.0,0.0,0.0,1.0,18.5,0.0,0.0,0,0.0,0
Tamil Nadu,11.18,77.78,2,0,0.0,0.0,0.0,1.0,16.8,0.0,0.0,0,0.0,0
Bihar,25.84,85.3,4,2,2.13,2.2,0.066,1.0,44.4,3.509,0.0,0,0.0,0
Rajasthan,27.07,76.46,2,0,0.0,0.0,0.0,1.0,43.2,0.0,0.0,0,0.0,0
Delhi-NCR,29.53,77.02,4,1,2.63,2.63,0.0,1.0,49.5,3.945,0.0,0,0.0,0
Bihar,26.48,85.9,4,4,2.17,2.33,0.114,1.0,36.8,3.892,0.37,0,0.0,1
Delhi-NCR,28.93,76.48,4,1,2.54,2.54,0.0,1.0,21.6,3.804,0.0,0,0.0,0
Madhya Pradesh,24.24,76.41,2,0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0,0.0,0
Sikkim,26.97,89.08,4,3,2.31,2.55,0.176,1.0,31.1,4.024,0.142,0,0.0,0
Tripura,24.8,91.93,5,0,0.0,0.0,0.0,1.0,24.4,0.0,0.0,1,3.181,0
Tripura,24.82,91.98,5,1,2.29,2.29,0.0,1.0,39.7,3.442,0.0,0,0.0,0
Kerala,9.87,76.22,3,0,0.0,0.0,0.0,1.0,30.2,0.0,0.0,0,0.0,0
Gujarat-Kutch,24.18,68.87,5,2,2.74,3.39,0.653,1.0,133.9,5.09,0.0,1,3.181,0
Gujarat-Saurashtra,23.2,70.95,3,0,0.0,0.0,0.0,1.0,12.7,0.0,0.0,0,0.0,0
Kashmir,33.93,74.3,5,6,2.24,2.61,0.22,1.505,132.3,4.271,0.698,0,0.0,0
Gujarat-Kutch,23.09,70.59,5,1,3.13,3.13,0.0,1.0,24.3,4.7,0.0,0,0.0,0
Tripura,24.32,90.81,5,4,2.19,2.38,0.154,1.0,26.9,3.941,0.515,0,0.0,1
Bihar,25.15,85.73,4,2,2.96,3.09,0.129,1.0,26.7,4.785,0.0,0,0.0,0
Tamil Nadu,11.15,79.1,2,0,0.0,0.0,0.0,1.0,5.7,0.0,0.0,0,0.0,0
Sikkim,27.53,88.54,4,3,2.24,2.49,0.175,1.0,29.7,3.928,0.974,1,1.616,0
Arunachal Pradesh,28.91,94.25,5,0,0.0,0.0,0.0,1.0,30.9,0.0,0.0,0,0.0,0
West Bengal,22.23,87.82,3,0,0.0,0.0,0.0,1.0,8.9,0.0,0.0,0,0.0,0
West Bengal,23.1,89.11,3,0,0.0,0.0,0.0,1.0,5.3,0.0,0.0,0,0.0,0
Meghalaya,24.67,91.37,5,4,2.34,2.76,0.261,1.0,25.3,4.304,0.229,0,0.0,1
Tripura,23.76,91.55,5,1,2.07,2.07,0.0,1.0,50.2,3.111,0.0,0,0.0,0
Gujarat-Saurashtra,22.16,71.31,3,1,2.0,2.0,0.0,1.0,32.1,3.003,0.0,0,0.0,0
Tripura,23.7,92.2,5,4,2.38,2.78,0.242,1.0,50.9,4.35,1.146,0,0.0,1
Ladakh,34.74,78.4,5,2,2.06,2.09,0.025,1.0,53.1,3.398,0.0,1,3.181,1
Gujarat-Kutch,22.53,68.86,5,3,2.26,2.38,0.125,1.0,18.5,3.908,0.584,0,0.0,0
Ladakh,34.88,77.76,5,4,2.25,2.73,0.279,1.0,27.9,4.225,0.485,0,0.0,1
Gujarat-Kutch,23.1,70.17,5,2,2.74,3.2,0.462,1.0,78.2,4.815,0.0,0,0.0,0
Maharashtra-Koyna,17.5,74.55,4,1,2.02,2.02,0.0,1.0,24.3,3.029,0.0,0,0.0,0
Tamil Nadu,10.81,79.25,2,0,0.0,0.0,0.0,1.0,8.8,0.0,0.0,0,0.0,0
Rajasthan,27.66,76.16,2,0,0.0,0.0,0.0,1.0,45.1,0.0,0.0,0,0.0,0
Tripura,23.03,91.84,5,0,0.0,0.0,0.0,1.0,17.3,0.0,0.0,0,0.0,0
Odisha,20.09,86.78,2,0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0,0.0,0
Mizoram,23.03,92.08,5,1,2.24,2.24,0.0,1.0,11.4,3.356,0.0,0,0.0,0
Manipur,25.16,94.8,5,2,2.56,3.1,0.542,1.0,72.1,4.66,0.0,0,0.0,0
Andaman Islands,11.68,92.41,5,3,2.23,2.46,0.161,1.0,15.9,3.896,0.655,0,0.0,0
Rajasthan,27.79,76.27,2,1,2.02,2.02,0.0,1.0,5.3,3.032,0.0,0,0.0,1
Tamil Nadu,10.44,78.13,2,0,0.0,0.0,0.0,1.0,19.7,0.0,0.0,0,0.0,0
Odisha,20.43,85.16,2,0,0.0,0.0,0.0,1.0,17.2,0.0,0.0,0,0.0,0
Himachal Pradesh,30.93,76.86,5,2,2.44,2.65,0.208,1.0,20.4,4.07,0.0,0,0.0,0
Gujarat-Saurashtra,22.77,72.42,3,2,2.64,2.74,0.107,1.0,21.4,4.285,0.0,1,3.181,1
Uttarakhand,30.59,79.35,5,3,2.87,3.49,0.617,1.0,38.5,5.341,0.264,0,0.0,1
Maharashtra-Koyna,17.65,74.3,4,2,2.49,2.85,0.367,1.0,38.1,4.315,0.0,0,0.0,0
Odisha,20.08,85.99,2,0,0.0,0.0,0.0,1.0,9.6,0.0,0.0,0,0.0,0
Odisha,21.08,86.19,2,0,0.0,0.0,0.0,1.0,5.6,0.0,0.0,1,3.181,0
Tripura,23.81,92.18,5,0,0.0,0.0,0.0,1.0,12.3,0.0,0.0,0,0.0,0
Uttarakhand,31.17,78.96,5,6,2.32,2.55,0.2,1.172,43.6,4.35,1.166,0,0.0,0
Andaman Islands,12.54,92.62,5,5,2.25,2.59,0.189,1.441,47.9,4.181,0.552,1,0.815,0
Sikkim,27.29,89.21,4,2,2.71,3.25,0.549,1.0,11.0,4.891,0.0,1,3.181,0
Gujarat-Saurashtra,22.16,71.01,3,1,2.13,2.13,0.0,1.0,12.8,3.202,0.0,0,0.0,0
Rajasthan,27.87,76.32,2,0,0.0,0.0,0.0,1.0,23.2,0.0,0.0,0,0.0,0
Nagaland,26.51,94.56,5,0,0.0,0.0,0.0,1.0,16.8,0.0,0.0,1,3.181,0
Bihar,25.07,85.25,4,1,2.33,2.33,0.0,1.0,32.6,3.492,0.0,1,3.181,1
Uttarakhand,29.35,80.24,5,5,2.16,2.25,0.068,2.045,51.7,3.955,0.549,2,2.167,1
Uttarakhand,29.77,79.38,5,2,2.63,2.83,0.202,1.0,92.0,4.339,0.0,0,0.0,0
West Bengal,22.97,87.58,3,3,2.28,2.38,0.135,1.0,7.8,3.938,0.979,0,0.0,0
Madhya Pradesh,23.21,76.5,2,0,0.0,0.0,0.0,1.0,43.7,0.0,0.0,0,0.0,0
Tripura,24.23,92.14,5,2,2.27,2.5,0.233,1.0,26.4,3.827,0.0,0,0.0,0
Delhi-NCR,28.77,76.26,4,1,3.35,3.35,0.0,1.0,100.3,5.029,0.0,0,0.0,0
Gujarat-Saurashtra,22.71,71.01,3,1,2.04,2.04,0.0,1.0,45.2,3.062,0.0,1,3.181,0
Bihar,24.96,85.45,4,1,2.53,2.53,0.0,1.0,59.9,3.789,0.0,1,3.181,0
Maharashtra-Koyna,16.89,74.1,4,3,2.51,3.0,0.355,1.0,19.4,4.561,0.194,0,0.0,1
Delhi-NCR,29.02,77.98,4,0,0.0,0.0,0.0,1.0,15.9,0.0,0.0,0,0.0,0
Himachal Pradesh,31.5,77.36,5,1,3.77,3.77,0.0,1.0,10.6,5.661,0.0,0,0.0,0
Himachal Pradesh,31.21,77.08,5,4,2.54,3.17,0.403,1.0,62.7,4.838,0.724,0,0.0,0
Tripura,23.48,90.69,5,1,2.02,2.02,0.0,1.0,14.6,3.024,0.0,0,0.0,0
Rajasthan,27.78,75.17,2,0,0.0,0.0,0.0,1.0,5.9,0.0,0.0,0,0.0,0
Andaman Islands,12.41,92.13,5,0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,1,3.181,0
Kerala,10.76,76.85,3,1,2.14,2.14,0.0,1.0,28.3,3.214,0.0,0,0.0,0
Odisha,21.01,85.78,2,0,0.0,0.0,0.0,1.0,14.6,0.0,0.0,0,0.0,0
Tripura,24.72,92.29,5,0,0.0,0.0,0.0,1.0,51.0,0.0,0.0,0,0.0,0
Odisha,20.42,85.39,2,0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0,0.0,0
Himachal Pradesh,30.2,76.7,5,5,2.25,2.42,0.118,1.449,48.2,4.109,0.897,0,0.0,0
Bihar,24.76,84.88,4,0,0.0,0.0,0.0,1.0,26.1,0.0,0.0,0,0.0,0
Ladakh,34.73,77.45,5,2,2.77,3.27,0.502,1.0,29.4,4.918,0.0,2,6.362,1
Tamil Nadu,10.19,78.96,2,0,0.0,0.0,0.0,1.0,13.8,0.0,0.0,0,0.0,0
Tripura,24.63,91.92,5,3,3.31,4.39,0.867,1.0,68.4,6.596,0.693,0,0.0,1
Rajasthan,26.3,75.99,2,0,0.0,0.0,0.0,1.0,19.6,0.0,0.0,0,0.0,0
Gujarat-Kutch,22.67,70.26,5,3,2.46,3.0,0.392,1.0,45.2,4.55,0.782,2,6.362,1
Himachal Pradesh,30.66,77.21,5,1,2.48,2.48,0.0,1.0,12.2,3.718,0.0,0,0.0,0
Bihar,24.73,84.15,4,3,2.12,2.2,0.06,1.0,120.7,3.673,0.278,0,0.0,0
Bihar,24.65,84.79,4,3,2.57,2.92,0.247,1.0,12.6,4.504,0.426,0,0.0,1
Himachal Pradesh,31.45,77.44,5,1,2.11,2.11,0.0,1.0,67.1,3.17,0.0,1,3.181,0
West Bengal,21.65,89.15,3,2,2.39,2.47,0.08,1.0,35.9,3.908,0.0,0,0.0,0
Manipur,24.72,93.53,5,3,2.37,2.61,0.244,1.0,80.3,4.152,0.813,0,0.0,0
Rajasthan,26.85,76.02,2,2,2.22,2.32,0.1,1.0,12.4,3.659,0.0,0,0.0,0
Ladakh,34.98,76.91,5,2,2.9,3.36,0.466,1.0,52.3,5.061,0.0,1,3.181,1
Tamil Nadu,10.89,79.36,2,0,0.0,0.0,0.0,1.0,24.7,0.0,0.0,0,0.0,0
Himachal Pradesh,31.68,76.82,5,3,2.68,3.62,0.669,1.0,38.3,5.442,0.518,0,0.0,0
Uttarakhand,31.0,79.66,5,2,2.27,2.53,0.258,1.0,10.3,3.855,0.0,1,3.181,0
Meghalaya,25.4,92.08,5,2,2.89,3.31,0.416,1.0,28.8,4.987,0.0,1,3.181,0
West Bengal,23.36,87.66,3,2,2.1,2.13,0.025,1.0,54.6,3.456,0.0,1,3.181,0
Odisha,20.41,85.3,2,0,0.0,0.0,0.0,1.0,11.1,0.0,0.0,1,3.181,0
Uttarakhand,30.68,79.05,5,8,2.81,3.44,0.517,0.502,27.6,5.658,0.891,0,0.0,1
Rajasthan,26.4,76.78,2,2,2.37,2.55,0.184,1.0,35.3,3.94,0.0,0,0.0,0
Nagaland,27.03,94.12,5,2,2.64,2.99,0.348,1.0,10.0,4.527,0.0,1,3.181,1
Nagaland,25.62,95.12,5,2,2.31,2.58,0.264,1.0,23.1,3.933,0.0,0,0.0,0
Andaman Islands,12.71,91.82,5,3,2.53,2.68,0.121,1.0,77.9,4.314,0.79,0,0.0,0
Karnataka,15.4,75.68,2,1,2.09,2.09,0.0,1.0,28.6,3.137,0.0,0,0.0,0
Bihar,25.14,85.97,4,0,0.0,0.0,0.0,1.0,138.0,0.0,0.0,0,0.0,0
Assam,26.43,92.63,5,5,2.3,2.39,0.094,1.254,73.0,4.164,0.589,0,0.0,1
Meghalaya,26.51,90.96,5,1,2.75,2.75,0.0,1.0,14.7,4.126,0.0,0,0.0,0
Kerala,10.31,76.51,3,0,0.0,0.0,0.0,1.0,29.3,0.0,0.0,0,0.0,0
Gujarat-Kutch,24.14,68.77,5,0,0.0,0.0,0.0,1.0,40.2,0.0,0.0,0,0.0,0
Karnataka,14.76,74.71,2,2,2.04,2.07,0.029,1.0,10.6,3.358,0.0,0,0.0,0
Rajasthan,27.78,76.48,2,0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0,0.0,0
Arunachal Pradesh,28.15,94.07,5,4,2.74,2.9,0.136,1.0,69.5,4.756,0.723,0,0.0,0
Tamil Nadu,10.61,78.3,2,1,2.3,2.3,0.0,1.0,10.8,3.444,0.0,0,0.0,1
Tripura,23.08,91.41,5,0,0.0,0.0,0.0,1.0,97.7,0.0,0.0,0,0.0,0
Nagaland,26.65,95.0,5,0,0.0,0.0,0.0,1.0,81.0,0.0,0.0,1,3.181,1
Maharashtra-Koyna,16.56,74.45,4,1,2.85,2.85,0.0,1.0,43.4,4.276,0.0,0,0.0,0
Karnataka,15.6,76.52,2,1,2.05,2.05,0.0,1.0,12.3,3.071,0.0,0,0.0,0
Bihar,26.54,85.15,4,1,2.19,2.19,0.0,1.0,69.5,3.278,0.0,0,0.0,0
Andaman Islands,12.79,92.76,5,2,2.91,3.76,0.844,1.0,12.2,5.635,0.0,1,3.181,0
Kashmir,34.42,74.62,5,5,2.18,2.39,0.136,1.895,36.6,4.018,0.64,0,0.0,0
Sikkim,26.6,88.78,4,2,2.5,2.76,0.263,1.0,57.6,4.207,0.0,2,6.362,0
Sikkim,26.72,87.68,4,4,2.21,2.35,0.094,1.0,16.5,3.935,0.735,0,0.0,0
Tripura,24.18,91.79,5,2,2.94,3.39,0.443,1.0,12.3,5.102,0.0,0,0.0,0
Gujarat-Saurashtra,21.67,70.93,3,0,0.0,0.0,0.0,1.0,10.1,0.0,0.0,0,0.0,0
Gujarat-Saurashtra,22.88,72.14,3,0,0.0,0.0,0.0,1.0,21.1,0.0,0.0,0,0.0,0
Himachal Pradesh,32.04,78.2,5,3,2.56,3.26,0.498,1.0,17.2,4.917,0.632,1,1.616,0
Andaman Islands,11.14,93.66,5,7,2.29,2.51,0.163,1.274,24.8,4.35,0.821,2,1.306,0
Nagaland,26.31,93.68,5,1,2.17,2.17,0.0,1.0,56.0,3.26,0.0,0,0.0,0
Ladakh,33.51,78.14,5,3,2.11,2.23,0.084,1.0,37.6,3.661,0.281,2,6.362,0
Karnataka,15.22,76.17,2,0,0.0,0.0,0.0,1.0,6.5,0.0,0.0,0,0.0,0
Karnataka,15.85,76.16,2,0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0,0.0,0
